Source Name	File Name	File Path	Description	File Structure	Notes
6ACC2844A6	6ACC2844A6_b4galT1tagRFPt_CFOR_pca_predicted.tsv	./extracted_measurements/6ACC2844A6/6ACC2844A6_b4galT1tagRFPt_CFOR_pca_predicted.tsv	Numerical features describing subcellular marker distribution in the Cell Frame of Reference (CFOR: excludes size and rotational information), predicted by Support Vector Regression (SVR) using training data from experimentA	column 1 (Source Name) links to 'idr0079-experimentB-assays.txt', column 2 (Cell ID) links to single-cell segmentation stacks, all other columns contain processed data	none
6ACC2844A6	6ACC2844A6_b4galT1tagRFPt_TFOR_pca_predicted.tsv	./extracted_measurements/6ACC2844A6/6ACC2844A6_b4galT1tagRFPt_TFOR_pca_predicted.tsv	Numerical features describing subcellular marker distribution in the Cell Frame of Reference (TFOR: includes size and rotational information, the latter is relative to registered tissues), predicted by Support Vector Regression (SVR) using training data from experimentA	column 1 (Source Name) links to 'idr0079-experimentB-assays.txt', column 2 (Cell ID) links to single-cell segmentation stacks, all other columns contain processed data	none
6ACC2844A6	6ACC2844A6_CDMPRtagRFPt_CFOR_pca_predicted.tsv	./extracted_measurements/6ACC2844A6/6ACC2844A6_CDMPRtagRFPt_CFOR_pca_predicted.tsv	Numerical features describing subcellular marker distribution in the Cell Frame of Reference (CFOR: excludes size and rotational information), predicted by Support Vector Regression (SVR) using training data from experimentA	column 1 (Source Name) links to 'idr0079-experimentB-assays.txt', column 2 (Cell ID) links to single-cell segmentation stacks, all other columns contain processed data	none
6ACC2844A6	6ACC2844A6_CDMPRtagRFPt_TFOR_pca_predicted.tsv	./extracted_measurements/6ACC2844A6/6ACC2844A6_CDMPRtagRFPt_TFOR_pca_predicted.tsv	Numerical features describing subcellular marker distribution in the Cell Frame of Reference (TFOR: includes size and rotational information, the latter is relative to registered tissues), predicted by Support Vector Regression (SVR) using training data from experimentA	column 1 (Source Name) links to 'idr0079-experimentB-assays.txt', column 2 (Cell ID) links to single-cell segmentation stacks, all other columns contain processed data	none
6ACC2844A6	6ACC2844A6_lysotrackerdeepred_CFOR_pca_predicted.tsv	./extracted_measurements/6ACC2844A6/6ACC2844A6_lysotrackerdeepred_CFOR_pca_predicted.tsv	Numerical features describing subcellular marker distribution in the Cell Frame of Reference (CFOR: excludes size and rotational information), predicted by Support Vector Regression (SVR) using training data from experimentA	column 1 (Source Name) links to 'idr0079-experimentB-assays.txt', column 2 (Cell ID) links to single-cell segmentation stacks, all other columns contain processed data	none
6ACC2844A6	6ACC2844A6_lysotrackerdeepred_TFOR_pca_predicted.tsv	./extracted_measurements/6ACC2844A6/6ACC2844A6_lysotrackerdeepred_TFOR_pca_predicted.tsv	Numerical features describing subcellular marker distribution in the Cell Frame of Reference (TFOR: includes size and rotational information, the latter is relative to registered tissues), predicted by Support Vector Regression (SVR) using training data from experimentA	column 1 (Source Name) links to 'idr0079-experimentB-assays.txt', column 2 (Cell ID) links to single-cell segmentation stacks, all other columns contain processed data	none
6ACC2844A6	6ACC2844A6_mKate2GM130_CFOR_pca_predicted.tsv	./extracted_measurements/6ACC2844A6/6ACC2844A6_mKate2GM130_CFOR_pca_predicted.tsv	Numerical features describing subcellular marker distribution in the Cell Frame of Reference (CFOR: excludes size and rotational information), predicted by Support Vector Regression (SVR) using training data from experimentA	column 1 (Source Name) links to 'idr0079-experimentB-assays.txt', column 2 (Cell ID) links to single-cell segmentation stacks, all other columns contain processed data	none
6ACC2844A6	6ACC2844A6_mKate2GM130_TFOR_pca_predicted.tsv	./extracted_measurements/6ACC2844A6/6ACC2844A6_mKate2GM130_TFOR_pca_predicted.tsv	Numerical features describing subcellular marker distribution in the Cell Frame of Reference (TFOR: includes size and rotational information, the latter is relative to registered tissues), predicted by Support Vector Regression (SVR) using training data from experimentA	column 1 (Source Name) links to 'idr0079-experimentB-assays.txt', column 2 (Cell ID) links to single-cell segmentation stacks, all other columns contain processed data	none
6ACC2844A6	6ACC2844A6_mKate2rab11_CFOR_pca_predicted.tsv	./extracted_measurements/6ACC2844A6/6ACC2844A6_mKate2rab11_CFOR_pca_predicted.tsv	Numerical features describing subcellular marker distribution in the Cell Frame of Reference (CFOR: excludes size and rotational information), predicted by Support Vector Regression (SVR) using training data from experimentA	column 1 (Source Name) links to 'idr0079-experimentB-assays.txt', column 2 (Cell ID) links to single-cell segmentation stacks, all other columns contain processed data	none
6ACC2844A6	6ACC2844A6_mKate2rab11_TFOR_pca_predicted.tsv	./extracted_measurements/6ACC2844A6/6ACC2844A6_mKate2rab11_TFOR_pca_predicted.tsv	Numerical features describing subcellular marker distribution in the Cell Frame of Reference (TFOR: includes size and rotational information, the latter is relative to registered tissues), predicted by Support Vector Regression (SVR) using training data from experimentA	column 1 (Source Name) links to 'idr0079-experimentB-assays.txt', column 2 (Cell ID) links to single-cell segmentation stacks, all other columns contain processed data	none
6ACC2844A6	6ACC2844A6_mKate2rab5_CFOR_pca_predicted.tsv	./extracted_measurements/6ACC2844A6/6ACC2844A6_mKate2rab5_CFOR_pca_predicted.tsv	Numerical features describing subcellular marker distribution in the Cell Frame of Reference (CFOR: excludes size and rotational information), predicted by Support Vector Regression (SVR) using training data from experimentA	column 1 (Source Name) links to 'idr0079-experimentB-assays.txt', column 2 (Cell ID) links to single-cell segmentation stacks, all other columns contain processed data	none
6ACC2844A6	6ACC2844A6_mKate2rab5_TFOR_pca_predicted.tsv	./extracted_measurements/6ACC2844A6/6ACC2844A6_mKate2rab5_TFOR_pca_predicted.tsv	Numerical features describing subcellular marker distribution in the Cell Frame of Reference (TFOR: includes size and rotational information, the latter is relative to registered tissues), predicted by Support Vector Regression (SVR) using training data from experimentA	column 1 (Source Name) links to 'idr0079-experimentB-assays.txt', column 2 (Cell ID) links to single-cell segmentation stacks, all other columns contain processed data	none
6ACC2844A6	6ACC2844A6_NLStdTomato_CFOR_pca_predicted.tsv	./extracted_measurements/6ACC2844A6/6ACC2844A6_NLStdTomato_CFOR_pca_predicted.tsv	Numerical features describing subcellular marker distribution in the Cell Frame of Reference (CFOR: excludes size and rotational information), predicted by Support Vector Regression (SVR) using training data from experimentA	column 1 (Source Name) links to 'idr0079-experimentB-assays.txt', column 2 (Cell ID) links to single-cell segmentation stacks, all other columns contain processed data	none
6ACC2844A6	6ACC2844A6_NLStdTomato_TFOR_pca_predicted.tsv	./extracted_measurements/6ACC2844A6/6ACC2844A6_NLStdTomato_TFOR_pca_predicted.tsv	Numerical features describing subcellular marker distribution in the Cell Frame of Reference (TFOR: includes size and rotational information, the latter is relative to registered tissues), predicted by Support Vector Regression (SVR) using training data from experimentA	column 1 (Source Name) links to 'idr0079-experimentB-assays.txt', column 2 (Cell ID) links to single-cell segmentation stacks, all other columns contain processed data	none
