Source Name	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Organism Part]	Term Source 2 REF	Term Source 2 Accession	Protocol REF	Protocol REF	Assay Name	Comment [Transgenes]	Comment [Transgene Reference DOIs]	Dataset Name	Image File	Comment [Image File Path]	Comment [Image File Comments]	Comment [Image File Type]	Channels	Protocol REF	Processed Data File
056F63395C	Danio rerio	NCBITaxon	# leave blank	primary posterior lateral line primordium	ZFA	# leave blank	growth protocol	image acquisition and feature extraction protocol	lynEGFP-only	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.019	lynEGFP-only	056F63395C_8bit_lynEGFP.tif	./056F63395C/056F63395C_8bit_lynEGFP.tif	-	raw	lynEGFP,cell membranes	data analysis protocol	idr0000-experimentA-processed.txt
08B96BE794	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	lynEGFP-only	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.020	lynEGFP-only	08B96BE794_8bit_lynEGFP.tif	./08B96BE794/08B96BE794_8bit_lynEGFP.tif	-	raw	lynEGFP,cell membranes	data analysis protocol	idr0000-experimentA-processed.txt
0B51F8B46C	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	lynEGFP-only	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.021	lynEGFP-only	0B51F8B46C_8bit_lynEGFP.tif	./0B51F8B46C/0B51F8B46C_8bit_lynEGFP.tif	-	raw	lynEGFP,cell membranes	data analysis protocol	idr0000-experimentA-processed.txt
0E48AB134C	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	lynEGFP-only	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.022	lynEGFP-only	0E48AB134C_8bit_lynEGFP.tif	./0E48AB134C/0E48AB134C_8bit_lynEGFP.tif	-	raw	lynEGFP,cell membranes	data analysis protocol	idr0000-experimentA-processed.txt
1C43D83E9A	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	lynEGFP-only	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.023	lynEGFP-only	1C43D83E9A_8bit_lynEGFP.tif	./1C43D83E9A/1C43D83E9A_8bit_lynEGFP.tif	-	raw	lynEGFP,cell membranes	data analysis protocol	idr0000-experimentA-processed.txt
22DF2AE1A0	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	lynEGFP-only	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.024	lynEGFP-only	22DF2AE1A0_8bit_lynEGFP.tif	./22DF2AE1A0/22DF2AE1A0_8bit_lynEGFP.tif	-	raw	lynEGFP,cell membranes	data analysis protocol	idr0000-experimentA-processed.txt
2902E38204	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	lynEGFP-only	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.025	lynEGFP-only	2902E38204_8bit_lynEGFP.tif	./2902E38204/2902E38204_8bit_lynEGFP.tif	-	raw	lynEGFP,cell membranes	data analysis protocol	idr0000-experimentA-processed.txt
2B23352582	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	lynEGFP-only	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.026	lynEGFP-only	2B23352582_8bit_lynEGFP.tif	./2B23352582/2B23352582_8bit_lynEGFP.tif	-	raw	lynEGFP,cell membranes	data analysis protocol	idr0000-experimentA-processed.txt
3612A6CEF5	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	lynEGFP-only	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.027	lynEGFP-only	3612A6CEF5_8bit_lynEGFP.tif	./3612A6CEF5/3612A6CEF5_8bit_lynEGFP.tif	-	raw	lynEGFP,cell membranes	data analysis protocol	idr0000-experimentA-processed.txt
4DC24FC301	Danio rerio	NCBITaxon		primary posterior lateral line primordium	ZFA		growth protocol	image acquisition and feature extraction protocol	lynEGFP-only	cldnB:lyn-EGFP	10.1016/j.devcel.2006.02.028	lynEGFP-only	4DC24FC301_8bit_lynEGFP.tif	./4DC24FC301/4DC24FC301_8bit_lynEGFP.tif	-	raw	lynEGFP,cell membranes	data analysis protocol	idr0000-experimentA-processed.txt
